titulo,cidade,empresa,dataPostagem,dataConsulta,link
Automação -   Programador de PLC /  Projetista de quadros de electricos para máquinas LEIRIA,Leiria,"Poço - Equipamentos Industriais, S.A.",2023-10-28,2023-11-20,https://www.net-empregos.com/10545610/automacao-programador-de-plc-projetista-de-quadros-de-electricos-para-maquinas-leiria/
Analista Programador Júnior (m/f) - Lisboa,Lisboa,Sysmatch IT Consulting,2023-10-28,2023-11-20,https://www.net-empregos.com/10565408/analista-programador-junior-m-f-lisboa/
PHP Developer - Laravel,Lisboa,Integer Consulting,2023-10-28,2023-11-20,https://www.net-empregos.com/10587633/php-developer-laravel/
Programador Javascript,Lisboa,Integer Consulting,2023-10-28,2023-11-20,https://www.net-empregos.com/10587426/programador-javascript/
Programador RPA,Leiria,Integer Consulting,2023-10-28,2023-11-20,https://www.net-empregos.com/10565645/programador-rpa/
Integration Developer (M/F),Leiria,Grupo Lusiaves,2023-10-28,2023-11-20,https://www.net-empregos.com/10315727/integration-developer-m-f/
Programador .Net (m/f) - Híbrido (Lisboa),Lisboa,Match Profiler,2023-10-28,2023-11-20,https://www.net-empregos.com/10586607/programador-net-m-f-hibrido-lisboa/
Analista Programador React (m/f) - Híbrido (Lisboa),Lisboa,Match Profiler,2023-10-28,2023-11-20,https://www.net-empregos.com/10564300/analista-programador-react-m-f-hibrido-lisboa/
Sistemas Embebidos (C/C++) - Aveiro,Aveiro,Dellent,2023-10-28,2023-11-20,https://www.net-empregos.com/10588154/sistemas-embebidos-c-c-aveiro/
Operador/Programador CNC (M/F),Porto,METALOCEL LDA,2023-10-27,2023-11-20,https://www.net-empregos.com/10565874/operador-programador-cnc-m-f/
Procuram-se professores de Design Gráfico para crianças e jovens,Porto,Algorithmics,2023-10-27,2023-11-20,https://www.net-empregos.com/10565696/procuram-se-professores-de-design-grafico-para-criancas-e-jovens/
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-10-27,2023-11-20,https://www.net-empregos.com/10647054/programador-a-de-robots-industriais-carregado/
Desenhador programador mQuinas CNC,Lisboa,Metalocachoeira,2023-10-25,2023-11-20,https://www.net-empregos.com/10522035/desenhador-programador-mquinas-cnc/
Formador Ciências Informáticas - Curso Programador de Informática,Braga,Escola Profissional Sónia Monteiro,2023-10-25,2023-11-20,https://www.net-empregos.com/10547771/formador-ciencias-informaticas-curso-programador-de-informatica/
Formador-a de Ciências Informáticas,Porto,Escola Profissional Sónia Monteiro,2023-10-25,2023-11-20,https://www.net-empregos.com/10547800/formador-a-de-ciencias-informaticas/
Formador Ciências Informáticas,Viana do Castelo,Escola Profissional Sónia Monteiro,2023-10-25,2023-11-20,https://www.net-empregos.com/10547814/formador-ciencias-informaticas/
Programador/a Informático/a - Braga,Braga,GTI,2023-10-25,2023-11-20,https://www.net-empregos.com/9928062/programador-a-informatico-a-braga/
Programador informático e técnico de hardware,Viana do Castelo,INPROSOF - INFORMATICA E SOFTWARES LDA,2023-10-25,2023-11-20,https://www.net-empregos.com/10581023/programador-informatico-e-tecnico-de-hardware/
Programador(a) - Robots Industriais,Lisboa,Clan by Multipessoal,2023-10-25,2023-11-20,https://www.net-empregos.com/10629160/programador-a-robots-industriais/
Programador Tri-Dimensional (m/f),Braga,"LABINA-FUNDIÇÃO INJECTADA, UNIPESSOAL, LDA",2023-10-24,2023-11-20,https://www.net-empregos.com/10515957/programador-tri-dimensional-m-f/
Operador/ Programador CNC,Santarem,Telmo Duarte - The Natural Stone Company,2023-10-24,2023-11-20,https://www.net-empregos.com/10515383/operador-programador-cnc/
informático,Porto,CESAR CASTRO LDA,2023-10-24,2023-11-20,https://www.net-empregos.com/10401286/informatico/
Programadores CNC (PCNC  2302),Lisboa,Tecnologias APAL,2023-10-24,2023-11-20,https://www.net-empregos.com/10425716/programadores-cnc-pcnc-2302/
Operador CNC,Porto,"Arménio Freitas Camões, Lda.",2023-10-22,2023-11-20,https://www.net-empregos.com/10530524/operador-cnc/
